Gene,LA3475,LA1316,LA1589,LA1777,LA2172,LA3778,LA4117,LA0716
Solyc05g006770.3.1,17.50236161,29.90847651,26.71415491,41.48513614,47.44652159,26.09158435,34.39470552,42.26334037
Solyc05g006780.3.1,6.85141259,6.170139923,12.90089861,9.847481812,25.51586634,37.34383009,23.16529566,29.8693607
Solyc05g006800.1.1,7.485464179,11.34988762,6.212534588,1.885688006,9.870087401,2.285584121,5.024257882,3.530826266
Solyc05g006810.3.1,3.837246831,7.47804455,4.577682181,3.771376013,5.55853931,3.832844074,1.23087577,4.552368343
Solyc05g006820.3.1,4.637872861,5.334194037,4.623931923,6.285626688,3.207040753,2.233639028,4.912792723,5.041374101
Solyc05g006880.1.1,57.12622899,43.87602058,40.00185775,49.02788817,36.94102677,44.77368683,28.93053834,45.61207355
Solyc05g006890.1.1,0.963505042,8.620363171,2.481374635,23.88538142,6.243086717,30.15087533,19.35406295,72.18160088
Solyc05g006900.2.1,41.28690879,42.1764381,41.64865246,30.79957077,28.93892282,50.30205248,39.5677161,43.68780255
Solyc05g006910.3.1,3.08472621,4.057023241,4.065341444,4.714220016,3.549281947,2.735188401,2.433422426,4.425802955
Solyc05g006920.3.1,76.53618906,3.747172303,50.27967936,68.19904957,33.24803819,81.62318436,33.41651163,7.420797159
Solyc05g006940.3.1,4.931729907,3.328215048,4.719653694,3.142813344,2.966277486,2.640325491,4.873522095,2.824400809
Solyc05g006950.3.1,14.10505994,9.444551895,13.96229141,19.39564807,11.52235439,13.05162821,11.77653581,12.81584514
Solyc05g006960.3.1,23.44494874,22.47080443,19.99078859,18.2283174,31.65951966,18.64476944,11.29525835,22.24805775
Solyc05g006970.3.1,10.93004682,11.02988225,15.7981735,4.399938682,16.56672237,7.873468524,7.247212287,13.47671772
Solyc05g006980.3.1,64.69832614,59.28954587,35.0274843,70.18949802,22.68284105,37.62339515,34.02712255,49.86687358
Solyc05g007000.3.1,18.31931056,4.726135921,14.57956877,3.771376013,1.712859793,1.350572435,6.854506002,7.343420381
Solyc05g007020.3.1,43.52927172,9.685115024,11.34417139,19.0364694,13.00745604,16.76631985,16.96371282,8.823741728
Solyc05g007030.3.1,10.79475719,6.288958315,8.429342338,6.285626688,5.693665606,5.855846627,7.625638097,5.862270136
Solyc05g007050.3.1,19.16338584,16.94110874,14.47555394,20.00924496,18.54396844,15.55277408,18.33461397,14.81532905
Solyc05g007060.3.1,10.66112977,5.444799361,10.12894676,17.70451517,3.545408873,11.29016532,38.9480474,8.011822821
Solyc05g007080.3.1,6.197538242,3.593653511,5.256150702,4.902788817,1.468261899,7.339191425,21.38510733,4.54401157
Solyc05g007100.3.1,7.701504331,3.935848207,8.940227087,0.628562669,7.179901272,1.766133185,2.774726302,10.49788477
Solyc05g007120.3.1,7.447643615,33.52940938,7.814642983,8.695116919,27.83344485,9.391644843,9.438300579,9.737799911
Solyc05g007130.3.1,15.63307774,12.61361241,10.88972969,10.5284247,15.00153905,9.807543465,7.698130023,12.72985737
Solyc05g007140.3.1,16.96684704,11.5766038,10.88167397,8.695116919,19.99759615,16.40617051,13.73400284,24.28014605
Solyc05g007150.3.1,19.64080761,6.647222564,6.800266717,3.268525878,15.68601366,7.840082896,5.617362992,6.58957501
Solyc05g007160.3.1,9.461825127,5.276656078,9.463695975,8.380835584,8.427105459,5.934185027,2.30255345,9.4321329
Solyc05g007180.3.1,372.7325556,268.3815763,301.9874208,334.8143816,341.2393292,285.0943086,186.6533334,144.201021
Solyc05g007190.4.1,6.214102448,3.891337085,5.012429756,4.651363749,4.528068179,3.770509962,6.605236971,5.852565117
Solyc05g007200.3.1,17.81489241,16.14331669,16.94974143,8.799877363,23.80262772,10.91974096,12.41823908,10.44173072
Solyc05g007220.3.1,27.33430445,19.89380775,23.47354612,20.1140054,27.38054779,34.00590511,31.93335142,23.04079011
Solyc05g007230.3.1,4.633762722,1.558308736,16.78448724,17.59975473,7.578593213,10.53024197,5.379676636,7.651234694
Solyc05g007240.1.1,130.2245145,215.4568301,102.9612185,39.59944814,225.972514,115.7977772,70.6256105,55.33599398
Solyc05g007250.3.1,92.48527019,65.8479286,74.61950713,46.3041166,82.38052535,28.08651056,54.78183724,90.15172467
Solyc05g007260.3.1,6.441594907,10.26517347,5.174623355,8.261109362,10.17117466,10.8423388,7.229022005,10.54804725
Solyc05g007270.3.1,6.629171597,10.31005111,13.61164097,7.85703336,9.291586237,11.61496879,6.663607396,11.10372298
Solyc05g007280.3.1,3.49246118,7.329313514,5.45642728,6.599908023,8.919301517,4.637993026,10.92912924,6.821353423
Solyc05g007290.2.1,4.134055703,18.03968887,8.354570735,14.45694138,11.78527572,12.37050596,22.40209697,11.89259968
Solyc05g007430.3.1,4.533795393,6.786570433,4.742588945,2.723771565,6.985626571,2.984407545,3.326498199,3.354685411
Solyc05g007440.3.1,8.151169004,8.260974596,6.304438482,4.938706684,7.113739155,8.266264348,5.378939999,5.424252896
Solyc05g007460.3.1,12.22661514,7.562166764,5.032645025,9.114158698,8.652335064,8.678617475,9.767274637,7.961922685
Solyc05g007490.3.1,8.417992103,6.819946818,9.886110286,6.66276429,6.02242668,7.365921339,17.17783668,19.19336584
Solyc05g007500.3.1,5.745240537,3.342363461,2.03498865,3.142813344,3.911080747,2.170601077,2.46175154,5.365883676
Solyc05g007510.3.1,13.88794489,18.14979975,14.92047068,62.54198555,10.17458308,17.41296688,83.62398371,15.55645292
Solyc05g007560.3.1,83.9029653,43.63384938,68.28251076,37.24233813,64.82015296,19.62996662,43.27482175,73.25253888
Solyc05g007570.3.1,8.20006825,5.311927022,5.058887955,12.31982831,6.560641446,7.869735219,1.596925394,6.886388083
Solyc05g007580.1.1,10.139503,7.321629534,5.471496433,6.914189357,9.488224945,1.298627342,7.868005351,2.773500008
Solyc05g007670.3.1,6.445570802,5.826416042,4.154073639,8.276075139,8.057687728,3.853856725,5.423905688,6.062049871
Solyc05g007675.1.1,6.958369016,5.611806239,6.134478888,10.18271523,6.433815525,4.890305414,10.1301509,5.515025288
Solyc05g007680.1.1,13.28848428,11.18928125,13.34797945,8.171314695,14.03134044,12.70436223,19.18428698,9.917945489
Solyc05g007730.3.1,4.649350484,4.239917715,3.614493316,4.085657347,2.092627395,1.142792061,2.923280274,3.895537549
Solyc05g007740.2.1,21.7518983,20.15148755,14.85213835,19.79972407,15.90528901,19.98248942,14.396248,22.24127564
Solyc05g007770.3.1,20.97960848,8.737420759,25.18548143,65.16099667,15.40748876,33.44289896,183.2321642,42.73984336
Solyc05g007800.3.1,4.203823911,7.270295665,4.392683213,3.771376013,10.64581319,1.610297904,7.883872168,3.487233956
Solyc05g007810.3.1,16.84081911,14.65407546,16.56867687,21.18256194,16.06559666,16.83450969,13.90179537,25.94248135
Solyc05g007820.3.1,54.23295592,39.6856999,36.97690737,70.71330024,44.93434278,41.33773699,41.65004994,52.55754301
Solyc05g007830.3.1,7.15962427,40.72402292,49.33286983,28.2853201,73.8489741,7.797986224,22.9616698,12.36873414
Solyc05g007840.3.1,11.31637485,10.48456796,10.21910843,11.31412804,16.14466758,9.316838289,8.976705605,12.21978508
Solyc05g007880.3.1,3.22715738,6.656759253,0.739995873,0.628562669,7.22911192,12.27770863,5.353099462,1.807364063
Solyc05g007900.2.1,11.53291657,7.949273936,1.526241488,1.885688006,13.53905582,20.1400843,5.889004541,10.65769287
Solyc05g007910.3.1,2.724532039,3.420584452,2.594661179,2.723771565,5.029281429,5.57426699,0.854168781,4.227623532
Solyc05g007930.3.1,8.591526782,7.02381636,8.255240798,13.73858405,16.35584461,9.911501986,7.186578013,9.97431505
Solyc05g007950.3.1,35.98487096,8.639287028,2.250125925,0,2.882768361,3.157557857,191.3303726,5.97332768
Solyc05g007960.3.1,16.02013015,14.85287615,12.897288,16.16304006,14.76710208,16.97935705,7.905065776,15.40212264
Solyc05g007970.3.1,10.22272838,7.830825234,4.955562121,10.37128404,9.084751495,9.169660524,8.218068926,11.37117072
Solyc05g007980.3.1,12.89420662,2.514998185,4.446988672,18.54259873,5.536951868,2.482271639,2.108911016,1.576379558
